TM01 Focus Punch,Oreburgh Gate,on the ground,0,
TM02 Dragon Claw,Mt. Coronet ~ B1F,on the ground,0,
TM03 Water Pulse,Route 218,on the ground,1,
TM04 Calm Mind,Solaceon Ruins,on the ground,1,
TM05 Roar,Route 213,on the ground,0,
TM06 Toxic,Route 212 ~ South,on the ground,0,
TM07 Hail,Route 217,on the ground,0,
TM08 Bulk Up,Route 205 ~ South,on the ground,1,
TM09 Bullet Seed,Route 204 ~ South,on the ground,0,
TM10 Hidden Power,Jubilife City,Gift from NPC,1,
TM11 Sunny Day,Route 212 ~ North,on the ground,0,
TM12 Taunt,Route 211 ~ West,on the ground,0,
TM13 Ice Beam,Route 216,Gift from NPC,1,
TM14 Blizzard,Lake Acuity,on the ground,0,
TM15 Hyper Beam,Sunyshore City,Gift from NPC,1,
TM16 Light Screen,Eterna City,Galactic Building,1,
TM17 Proect,Great Marsh ~ Area 1 & 2,Gift from NPC,1,
TM18 Rain Dance,Route 223,on the ground,0,
TM19 Giga Drain,Route 209,on the ground,0,
TM20 Safeguard,Route 212 ~ North,on the ground,1,
TM21 Frustration,Galactic HQ,on the ground,0,
TM22 Solar Beam,Route 210 ~ North,on the ground,1,
TM23 Iron Tail,Iron Island,on the ground,0,
TM24 Thunderbolt,Valley Windworks,on the ground,0,
TM25 Thunder,Lake Valor,on the ground,0,
TM26 Earthquake,Veilstone City,Gift from Bertha in the Dept. Store,1,
TM27 Return,Eterna Forest,Gift from Cheryl,1,
TM28 Dig,Eterna City,Gift from NPC,1,
TM29 Psychic,Solaceon Town,Gift from Lucian,1,
TM30 Shadow Ball,Hearthome Gym,Gift from Fantina,1,
TM31 Brick Break,Oreburgh Gate,on the ground,0,
TM32 Double Team,Wayward Cave,on the ground,0,
TM33 Reflect,Eterna City,Galactic Building,1,
TM34 Shock Wave,Valley Windworks,on the ground,1,
TM35 Flamethrower,Fuego Ironworks,on the ground,0,
TM36 Sludge Bomb,Great Marsh ~ Area 1 & 2,on the ground,1,
TM37 Sandstorm,Route 228,on the ground,0,
TM38 Fire Blast,Lake Verity,on the ground,0,
TM39 Rock Tomb,Ravaged Path,on the ground,0,
TM40 Aerial Ace,Floaroma Town,Gift from NPC,1,
TM41 Torment,Route 213,on the ground,1,
TM42 Façade,Jubilife City,Gift from NPC,1,
TM43 Secret Power,Hearthome City,Amity Square,0,
TM44 Rest,Hearthome City,Gift from NPC,1,
TM45 Attract,Hearthome City,Amity Square,0,
TM46 Thief,Eterna City,on the ground,0,
TM47 Steel Wing,Route 209,on the ground,0,
TM48 Skill Swap,Canalave City,Gift from NPC,0,
TM49 Snatch,Veilstone City,Galactic Warehouse,0,
TM50 Overheat,Sunyshore City,Gift from Flint,1,
TM51 Roost,Route 210 ~ South,Gift from NPC,0,
TM52 Focus Blast,Route 217,Gift from Maylene,1,
TM53 Energy Ball,Valor Lakefront,on the ground,1,
TM54 False Swipe,Eterna City,Gift from NPC,1,
TM55 Scald,Hearthome City,Gift from NPC,1,
TM56 Fling,Route 222,on the ground,0,
TM57 Wild Charge,Sunyshore Gym,Gift from Volkner,0,
TM58 Endure,Route 203,on the ground,1,
